Type,Title,Summary,Author,Publication Date
Nature Careers Podcast,Counting the cost of fashion’s carbon footprint,As a child Sonja Salmon loved chemistry and sewing. Now her research explores ways of reducing the textile industry’s environmental impact.,Dom Byrne,10-Jun-24
Career Feature,How we packed off the giant pandas from the Smithsonian’s National Zoo,"As the zoo prepares to welcome two giant pandas from China, its director Brandie Smith discusses the departure of their predecessors, Tian Tian, Mei Xiang and a three-year-old cub.",Anne Gulland,10-Jun-24
News,Far-right gains in European elections: what they mean for climate goals,"A political shift to the right in Europe could make it harder to bring in more ambitious green policies, but key net-zero commitments should remain.",Carissa Wong,10-Jun-24
Comment,How to track the economic impact of public investments in AI,"National statistics systems should recognize the researchers whose ideas drive artificial-intelligence applications, not just machines and factory outputs.","Julia Lane, Jason Owen-Smith, Bruce A. Weinberg",10-Jun-24
News,Alzheimer’s drug with modest benefits wins backing of FDA advisers,"Donanemab slows progression of symptoms, but questions linger about the durability of its effect.",Sara Reardon,10-Jun-24
News & Views,Two decades of deep ice cores from Antarctica,"In June 2004, the results of an ambitious Antarctic ice-drilling project brought insight into hundreds of thousands of years of climatic changes. The extraordinary sample still has much to offer climate research — even as its successor is being drilled.","Kenji Kawamura, Ikumi Oyabu",10-Jun-24
Essay,Beyond the trans/cis binary: introducing new terms will enrich gender research,We need terms such as ‘gender modality’ that are flexible enough to capture the nuances of human experience but pragmatic enough to serve science.,"Florence Ashley, Shari Brightly-Brown, G. Nic Rider",10-Jun-24
Book Review,Sparrow massacres and Cuban vaccines: Books in Brief,Andrew Robinson reviews five of the best science picks.,Andrew Robinson,07-Jun-24
News,World's first wooden satellite could herald era of greener space exploration,Japan’s satellite will test wood’s resilience in space — wooden Moon shelters are also planned.,Tim Hornyak,07-Jun-24
Book Review,How white supremacy became a global health problem,Racism is a systemic issue — one that we have the knowledge and tools to solve. But is there a will?,Sirry  Alang,07-Jun-24
News,FBI asks scientists for trust in taking anti-Asian bias seriously,"At a public forum, US investigators seek to repair damage from China Initiative with researchers of Asian descent.",Neil Savage,07-Jun-24
Nature Briefing,Daily briefing: How to figure out which climate-change policies really work,"An ‘evidence bank’ could synthesize research to show how well different policies — from carbon taxes to the promotion of electric vehicles — work to address climate change. Plus, a satellite made from magnolia wood and whether scientists make good presidents.",Flora Graham,07-Jun-24
Publisher Correction,Publisher Correction: Interim analyses of a first-in-human phase 1/2 mRNA trial for propionic acidaemia,N/A,"Dwight Koeberl, Andreas Schulze, Stephanie Grunewald",06-Jun-24
Author Correction,Author Correction: Restoration of vision after transplantation of photoreceptors,N/A,"R. A. Pearson, A. C. Barber, R. R. Ali",06-Jun-24
News,"‘Rainbow’, ‘like a cricket’: every bird in South Africa now has an isiZulu name",An effort to create names for wild bird species in the Indigenous language hopes to strengthen conservation research.,Sarah Wild,06-Jun-24
Research Highlight,A huge outbreak of butterflies hit three continents — here’s why,"Swarms of painted ladies that descended on the Middle East, northern Africa and Europe have been traced to their source.","N, /, A",06-Jun-24
Article,Mechanisms of actin filament severing and elongation by formins,"Cryo-electron microscopy shows five structural states of inverted formin 2 and two of formin diaphanous 1 bound to F-actin, providing step-by-step visualization of the mechanisms of F-actin severing and elongation by formins.","Nicholas J. Palmer, Kyle R. Barrie, Roberto Dominguez",06-Jun-24
Article,Widespread horse-based mobility arose around 2200bcein Eurasia,"Analyses of 475 ancient horse genomes show modern horses emerged around 2200bce, coinciding with sudden expansion across Eurasia, refuting the narrative of large horse herds accompanying earlier migrations of steppe peoples across Europe.","Pablo Librado, Gaetan Tressières, Ludovic Orlando",06-Jun-24
Article,Unlocking carbene reactivity by metallaphotoredox α-elimination,Metal carbenes are accessed using a metallaphotoredox platform that exploits iron carbene reactivity using readily available chemical feedstocks and α-elimination.,"Benjamin T. Boyle, Nathan W. Dow, David W. C. MacMillan",06-Jun-24
Nature Careers Podcast,Why female students at an inner London school are seeing scientists in a different light,Julie Gould describes what happened after showing 50 images of working scientists to a bunch of 12–13 year-olds.,Julie Gould,06-Jun-24
Career Feature,I was denied tenure — how do I cope?,"Researchers can work long and hard for a permanent academic position, only for their hopes to be dashed.Naturesought advice from three scientists who have experienced the same disappointment.",Nikki Forrester,06-Jun-24
Nature Briefing,Daily briefing: Evidence grows that cows spread bird flu through their milk,"Astonishing amounts of H5N1 virus have been found in the raw milk of cows infected with avian influenza. Plus, Neanderthal fire pits offer a snapshot of ancient life and how a dad’s diet affects his sons’ health.",Katrina Krämer,06-Jun-24
News,What’s the best way to tackle climate change? An ‘evidence bank’ could help scientists find answers,"Synthesizing research on which policies are most effective is a key priority in climate science, advocates say.",Helen Pearson,06-Jun-24
News,CERN’s $17-billion supercollider in question as top funder criticizes cost,Germany has raised doubts about the affordability of the Large Hadron Collider’s planned successor.,Davide Castelvecchi,06-Jun-24
News,Do scientists make good presidents? How five national leaders performed,"Following Mexico’s election result,Naturereviews the legacy of well-known politicians with backgrounds in science and engineering.","Smriti Mallapaty, Jeff Tollefson, Carissa Wong",06-Jun-24
Author Correction,Author Correction: High-speed and large-scale intrinsically stretchable integrated circuits,N/A,"Donglai Zhong, Can Wu, Zhenan Bao",05-Jun-24
Nature Index,China seeks global impact and recognition,The country’s lead in high-quality research looks set to shape the direction of world science.,Simon Baker,05-Jun-24
Research Highlight,AI finds huge cache of anti-bacterial peptides hidden in genomic data,"Machine-learning technique uncovers nearly 900,000 microbe-fighting peptide sequences in genomes collected from soils and other sources.","N, /, A",05-Jun-24
News,These Neanderthal fire pits offer an extraordinarily precise snapshot of ancient life,Researchers used traces of Earth’s changing magnetic field in sediments to identify the activity of ancient humans.,Ewen Callaway,05-Jun-24
Article,A virally encoded high-resolution screen of cytomegalovirus dependencies,A genetic screen that expresses single guide RNA libraries targeting host genes in the human cytomegalovirus genome enables identification of host factors and provides insights into their roles during the viral replication cycle.,"Yaara Finkel, Aharon Nachshon, Noam Stern-Ginossar",05-Jun-24
Article,A disease-associated gene desert directs macrophage inflammation through ETS2,"ETS2—which is associated with inflammatory bowel disease, ankylosing spondylitis, primary sclerosing cholangitis and Takayasu’s arteritis—is a central regulator of human inflammatory macrophages.","C. T. Stankey, C. Bourges, J. C. Lee",05-Jun-24
Article,Profiling phagosome proteins identifies PD-L1 as a fungal-binding receptor,Proximity labelling of phagosomal contents is used to identify proteins that localize to phagosomes in host–microorganism interactions.,"Kai Li, Avradip Chatterjee, David M. Underhill",05-Jun-24
Article,MYCT1 controls environmental sensing in human haematopoietic stem cells,"MYCT1 is identified as a crucial regulator of cellular properties essential for the stemness of human haematopoietic stem cells, a finding that may help improve successful in vitro expansion of these cells for therapeutics.","Júlia Aguadé-Gorgorió, Yasaman Jami-Alahmadi, Hanna K. A. Mikkola",05-Jun-24
Article,Observation of 2D-magnesium-intercalated gallium nitride superlattices,"The spontaneous formation of magnesium-intercalated gallium nitride superlattices by the interstitial intercalation of two-dimensional magnesium results in considerable compressive strain perpendicular to the layers, leading to enhanced hole transport.","Jia Wang, Wentao Cai, Hiroshi Amano",05-Jun-24
Article,Fault-network geometry influences earthquake frictional behaviour,"Analysis of some of the main fault zones in California shows that the presence of complex earthquake fault-network geometries results in geometric locking that promotes stick-slip behaviour, whereas simpler geometries lead to smooth fault creep.","Jaeseok Lee, Victor C. Tsai, Daniel T. Trugman",05-Jun-24
Article,Injectable ultrasonic sensor for wireless monitoring of intracranial signals,"A bioresorbable, wireless hydrogel (metagel) sensor, encompassing both biodegradable and stimulus-responsive hydrogels for ultrasonic monitoring of intracranial signals, was implanted into intracranial space with a puncture needle and deformed in response to physiological environmental changes.","Hanchuan Tang, Yueying Yang, Jianfeng Zang",05-Jun-24
Article,A late-Ediacaran crown-group sponge animal,"Cross-hatch impressions from Ediacaran rocks in China are interpreted as having been left by a crown-group sponge fossil,Helicolocellus cantorigen. et sp. nov., characterized by an organic latticework skeleton.","Xiaopeng Wang, Alexander G. Liu, Shuhai Xiao",05-Jun-24
Article,Myelin plasticity in the ventral tegmental area is required for opioid reward,"Oligodendrogenesis is shown to be involved in reward learning, with dopaminergic neuronal activity-regulated myelin plasticity being an important reward circuit modification.","Belgin Yalçın, Matthew B. Pomrenze, Michelle Monje",05-Jun-24
Perspective,Misunderstanding the harms of online misinformation,"This Perspective identifies common misperceptions regarding the harms of online misinformation, finding that exposure to false and inflammatory content is rare and concentrated among a small minority of people who already have extreme views.","Ceren Budak, Brendan Nyhan, Duncan J. Watts",05-Jun-24
Article,Early stages of covalent organic framework formation imaged in operando,"The operando imaging of the early formation stages of covalent organic frameworks with the optical technique interferometric scattering microscopy leads to mechanistic insights, enabling the rational development of a synthesis protocol at room temperature instead of elevated temperatures.","Christoph G. Gruber, Laura Frey, Emiliano Cortés",05-Jun-24
Article,Nuclear position and local acetyl-CoA production regulate chromatin state,Analyses of histone acetylation inDrosophilawing imaginal discs reveal distinct patterns of acetylation and cellular metabolism that affect gene expression and cell specification.,"Philipp Willnow, Aurelio A. Teleman",05-Jun-24
Article,The time between Palaeolithic hearths,High-resolution time differences between six Middle Palaeolithic hearths from El Salt Unit x (Spain) obtained through archaeomagnetic and archaeostratigraphic analyses show sometimes decade-long intervals between hearths.,"Ángela Herrejón-Lagunilla, Juan José Villalaín, Ángel Carrancho",05-Jun-24
Article,Structure and topography of the synaptic V-ATPase–synaptophysin complex,"Using cryo-electron tomography and single-particle cryo-electron microscopy of functional synaptic vesicles, a V-ATPase–synaptophysin interface was found to regulate synaptic vesicle biogenesis and alter seizure susceptibility.","Chuchu Wang, Wenhong Jiang, Axel T. Brunger",05-Jun-24
Article,Senescent glia link mitochondrial dysfunction and lipid accumulation,"The authors identify naturally occurring senescent glia in agedDrosophilabrains and decipher their origin and influence, determining that they can appear in response to neuronal mitochondrial dysfunction and that they promote lipid accumulation, indicating that these cells link key ageing phenomena.","China N. Byrns, Alexandra E. Perlegos, Nancy M. Bonini",05-Jun-24
Article,Descending networks transform command signals into population motor control,Command-like descending neurons inDrosophila melanogasterrecruit additional descending neuronal networks to co-ordinate behaviours that require multiple motor subroutines controlling numerous body parts.,"Jonas Braun, Femke Hurtak, Pavan Ramdya",05-Jun-24
Article,"Large-area, self-healing block copolymer membranes for energy conversion",We introduce a self-assembly strategy that uses the interface of an aqueous two-phase system to template and stabilize molecularly thin biomimetic block copolymer bilayers of scalable area that can exceed 10 cm2without defects.,"Christian C. M. Sproncken, Peng Liu, Alessandro Ianiro",05-Jun-24
Article,Scaling neural machine translation to 200 languages,"Scaling neural machine translation to 200 languages is achieved by No Language Left Behind, a single massively multilingual model that leverages transfer learning across languages.","Marta R. Costa-jussà, James Cross, Jeff Wang",05-Jun-24
Article,Global shortfalls in documented actions to conserve biodiversity,A global assessment of conservation interventions for threatened species across a range of data sources finds that interventions for most species remain insufficient or absent.,"Rebecca A. Senior, Ruby Bagwyn, David S. Wilcove",05-Jun-24
Article,Epigenetic inheritance of diet-induced and sperm-borne mitochondrial RNAs,"A study shows that epididymal spermatozoa are sensitive to preconception diet, identifies mitochondrial tRNAs and their fragments as sperm-borne factors and demonstrates epigenetic inheritance of mitochondrial tRNAs.","A. Tomar, M. Gomez-Velazquez, R. Teperino",05-Jun-24
Article,Microbial competition for phosphorus limits the CO2response of a mature forest,Microbial pre-emption of mineralized soil P limits the capacity of trees for increased P uptake and assimilation under elevated CO2and therefore restricts their capacity to sequester extra C.,"Mingkai Jiang, Kristine Y. Crous, David S. Ellsworth",05-Jun-24
Article,Capturing carbon dioxide from air with charged-sorbents,"Charged-sorbents are a new class of designer sorbent materials for the capture of carbon dioxide from the atmosphere, and can be regenerated at low temperatures with direct heating generation using renewable electricity.","Huaiguang Li, Mary E. Zick, Alexander C. Forse",05-Jun-24
Article,Companies inadvertently fund online misinformation despite consumer backlash,"Many companies unknowingly advertise on websites that publish misinformation despite the reputational and financial risks, and increased transparency for consumers and advertisers could counter unintended ad revenue going to misinformation websites.","Wajeeha Ahmad, Ananya Sen, Erik Brynjolfsson",05-Jun-24
Article,Single-cell nascent RNA sequencing unveils coordinated global transcription,Nascent transcription in genes and enhancers genome-wide at the single-cell level is quantified using global run-on and sequencing (GRO–seq) with click chemistry.,"Dig B. Mahat, Nathaniel D. Tippens, Phillip A. Sharp",05-Jun-24
Article,Observation of edge states derived from topological helix chains,Unusual electronic states derived from topological helix chains were observed that support the emergent bound states in elemental tellurium.,"K. Nakayama, A. Tokuyama, T. Sato",05-Jun-24
Article,Post-January 6th deplatforming reduced the reach of misinformation on Twitter,"Difference-in-differences analysis indicates that the decision by Twitter to deplatform 70,000 users following the events at the US Capitol on 6 January 2021 had wider effects on the spread of misinformation.","Stefan D. McCabe, Diogo Ferrari, Kevin M. Esterling",05-Jun-24
Article,Visualization of oxygen vacancies and self-doped ligand holes in La3Ni2O7−δ,Direct visualization of oxygen vacancies and self-doped ligand holes reveals the role of ligand oxygen in La3Ni2O7−δand provides further understanding of superconducting nickelate materials.,"Zehao Dong, Mengwu Huo, Zhen Chen",05-Jun-24
Nature Index,China’s big-science bet,"With a view to increase its prestige and influence in global science, the country is investing heavily in major facilities.",James Mitchell Crow,05-Jun-24
Research Briefing,Atomic-scale insights into the mystery of how ice surfaces melt,"It has long been known that ice starts melting at temperatures far below its nominal freezing point, but why or how has remained enigmatic. An innovation in atomic force microscopy provides insights into how this process begins in the most abundant form of ice on Earth.","N, /, A",05-Jun-24
Editorial,What we do — and don’t — know about how misinformation spreads online,"There are gaps in our understanding of how and why digital misinformation propagates. To help design effective interventions to minimize the spread of falsehoods, researchers need data and transparency from online platforms.","N, /, A",05-Jun-24
Nature Index,A guide to the Nature Index,"A description of the terminology and methodology used in this supplement, and a guide to the functionality that is available free online at natureindex.com.","N, /, A",05-Jun-24
Career Column,Need a policy for using ChatGPT in the classroom? Try asking students,"Students are the key users of AI chatbots in university settings, but their opinions are rarely solicited when crafting policies. That needs to change, says Maja Zonjić.",Maja Zonjić,05-Jun-24
Comment,How prevalent is AI misinformation? What our studies in India show so far,A sample of roughly two million WhatsApp messages highlights urgent concerns about the spread and prevalence of AI-generated political content.,"Kiran Garimella, Simon Chauchard",05-Jun-24
News,A dad’s diet affects his sperm — and his sons’ health,Mouse fathers who ate high-fat foods and human fathers with high body-mass index have male offspring with metabolic disorders.,Julian Nowogrodzki,05-Jun-24
Research Briefing,Opioid drugs drive electrical insulation of reward circuitry,"Myelin is a fatty substance that forms an insulating sheath around the axons of neurons. In mice, drugs of abuse induce neuronal-activity-regulated changes in the myelination of neurons in the brain’s reward circuitry that release the neurotransmitter chemical dopamine. This myelin plasticity is required for the learning of reward associations with drugs of abuse, such as morphine.","N, /, A",05-Jun-24
Nature Briefing,Daily briefing: Landmark Alzheimer’s paper will be retracted,"Senior author plans to retract her team’s highly cited study on the cause of Alzheimer’s disease after acknowledging that the paper contains manipulated images. Plus, why cicadas shriek so loudly and how CO2helps viruses stay alive in the air.",Flora Graham,05-Jun-24
Nature Index,Chinese research collaborations shift to the Belt and Road,Data from the Nature Index suggest changing make-up of international partnerships.,Benjamin Plackett,05-Jun-24
Research Briefing,A window on molecular chirality at the timescale of electron motion,"A laser technique, which has a time resolution of only a few femtoseconds, captures how photoexcited electrons can influence the chirality — or handedness — of neutral molecules. The resulting helical currents could be used to control physical and chemical properties that result from chiral interactions. This technology could have applications in fields ranging from solid-state electronics to drug design.","N, /, A",05-Jun-24
Editorial,Meta’s AI system is a boost to endangered languages — as long as humans aren’t forgotten,"Automated approaches to translation could provide a lifeline to under-resourced languages, but only if companies engage with the people who speak them.","N, /, A",05-Jun-24
Career Q&A,‘I saw that discrimination wasn’t hearsay or rumours — it really did exist’,"JoAnn Trejo attributes her path to pharmacology to her immigrant family’s strong work ethic. Today, she uses recruitment and mentorship training to unlock the potential of other scientists from under-represented groups.",Robin Donovan,05-Jun-24
News & Views,Nuclei facing the tissue surface get fuel for development,"Using tissue from the developing fruit-fly wing, researchers show that a nucleus’s location in the cell determines how it experiences signals that regulate genes needed for proper wing formation.","Tanvi Kulkarni, Asifa Akhtar",05-Jun-24
News & Views,Brain fluid probed by ultrasound using squishy cubes,"Soft solids that swell with shifts in pressure, temperature and pH provide a way of detecting such changes in the fluid around the brain. The method could be used to determine other properties of fluids elsewhere in the body.",Jules J. Magda,05-Jun-24
News,This injectable gel can help to diagnose brain injury — then it disappears,"The squishy sensors could be used to monitor the brain for tumours or injury, before eventually degrading.",Gemma Conroy,05-Jun-24
Futures,"1,001 best hikes on Mars: The Peterson Historic Trail (‘Peterson’s folly’)",A walk into history.,Ron Fein,05-Jun-24
News & Views,Precision dating pinpoints time between use of ancient fireplaces,Knowing the occupation timescales for ancient sites offers insights into population dynamics. A dating approach now establishes the time frame during which prehistoric hearths were in use at a high level of precision.,Ségolène Vandevelde,05-Jun-24
News,Huge amounts of bird-flu virus found in raw milk of infected cows,New findings point to the milking process as a possible route of avian-influenza spread between cows — and from cow to human.,Max Kozlov,05-Jun-24
Nature Index,China’s research clout leads to growth in homegrown science publishing,Self-reliance and a wish to set the agenda might explain concerted push to produce domestic journals.,Brian Owens,05-Jun-24
Nature Index,Chinese science still has room to grow,Strengths in chemistry and the physical sciences have propelled the country to the top of the Nature Index. But there is untapped potential in other subject areas.,"N, /, A",05-Jun-24
News & Views,Meta’s AI translation model embraces overlooked languages,"More than 7,000 languages are in use throughout the world, but popular translation tools cannot deal with most of them. A translation model that was tested on under-represented languages takes a key step towards a solution.",David I. Adelani,05-Jun-24
Nature Podcast,"Twitter suspended 70,000 accounts after the Capitol riots and it curbed misinformation",Removal of users shows the role social media companies could play in preventing misinformation sharing — plus how physicists coaxed ultracold molecules into an exotic quantum state.,"Benjamin Thompson, Elizabeth Gibney",05-Jun-24
Comment,Misinformation poses a bigger threat to democracy than you might think,"In today’s polarized political climate, researchers who combat mistruths have come under attack and been labelled as unelected arbiters of truth. But the fight against misinformation is valid, warranted and urgently required.","Ullrich Ecker, Jon Roozenbeek, Stephan Lewandowsky",05-Jun-24
News,MDMA therapy for PTSD rejected by FDA panel,Scientific advisers to the US Food and Drug Administration vote overwhelmingly that the risks of MDMA treatment for post-traumatic stress disorder outweigh the benefits.,Sara Reardon,05-Jun-24
News,"Drug-resistant infections more likely to strike women, says WHO","More countries must recognize how gender affects exposure to pathogens, finds a review by the World Health Organization.",Carissa Wong,05-Jun-24
News & Views,Father’s diet influences son’s metabolic health through sperm RNA,"DNA from organelles called mitochondria is not inherited from the father. But mitochondrial RNAs that sense paternal diet and mitochondrial quality are delivered from sperm to egg, affecting offspring metabolism.","Chen Cai, Qi Chen",05-Jun-24
Nature Index,Why China has been a growing study destination for African students,"Scholarships and soft power among reasons for increasing numbers, but graduates return with mixed reviews.",Rachel Nuwer,05-Jun-24
Author Correction,Author Correction: Myt1l safeguards neuronal identity by actively repressing many non-neuronal fates,N/A,"Moritz Mall, Michael S. Kareta, Marius Wernig",04-Jun-24
Correspondence,Mega engineering projects won’t stop a repeat of the devastating southern Brazil floods,N/A,"Luiz Roberto Malabarba, Fernando Gertum Becker, Márcio Borges-Martins",04-Jun-24
Correspondence,Underfunding cannabis research hampers sensible policymaking and boosts the black market,N/A,Davoud Torkamaneh,04-Jun-24
Correspondence,Neurotechnologies that can read our mind could undermine international norms on freedom of thought,N/A,Christoph Bublitz,04-Jun-24
News & Views,Problem-solving PhD students are prepared for careers in industry,"PhD programmes in an industrial setting were on the rise in the 1970s, and a reflection on Darwin’s rich accomplishments, in the weekly dip intoNature’s archive.","N, /, A",04-Jun-24
Correspondence,Organic product legislation ignores agricultural plastic use — that must change,N/A,"Andrea M. Alma, Micaela Buteler",04-Jun-24
News,Superfast Microsoft AI is first to predict air pollution for the whole world,"The model, called Aurora, also forecasts global weather for ten days — all in less than a minute.",Carissa Wong,04-Jun-24
Nature Briefing,Daily briefing: Anthony Fauci denies ‘preposterous’ accusations of COVID origins cover-up,"Fauci, the face of the US pandemic response, was in the hot-seat at a politically polarized hearing. Plus, the first rock samples collected from the far side of the Moon and how to overcome stage fright in lab meetings.",Flora Graham,04-Jun-24
News,What Modi’s third term in India means for science,"Research that drives development and national pride will take centre stage for the next five years, say researchers.",Smriti Mallapaty,04-Jun-24
World View,Negotiating a pandemic treaty is just the first step — how will countries comply?,"Governments must act now on vaccine and pathogen-sample sharing, or any agreement will be a promise only on paper.",Tae Jung Park,04-Jun-24
News Feature,How cutting-edge computer chips are speeding up the AI revolution,"Engineers are harnessing the powers of graphics processing units (GPUs) and more, with a bevy of tricks to meet the computational demands of artificial intelligence.",Dan Garisto,04-Jun-24
Nature Briefing,AI & robotics briefing: What would you do with a third thumb?,"A toe-controlled robotic thumb proved to be intuitive to use for hundreds of testers. Plus, mindless AI beats humans in theory of mind tests and why we don’t have robot butlers yet.",Katrina Krämer,04-Jun-24
News,Jaw-dropping views of the Milky Way and more — May’s best science images,"The month’s sharpest science shots, selected byNature’sphoto team.",Emma Stoye,04-Jun-24
News,China’s Chang’e-6 collects first rock samples from Moon’s far side,Scientists are now hoping the spacecraft will successfully dock with its orbiter and have a safe trip home.,Ling Xin,04-Jun-24
Author Correction,Author Correction: Nuclear genetic control of mtDNA copy number and heteroplasmy in humans,N/A,"Rahul Gupta, Masahiro Kanai, Vamsi K. Mootha",03-Jun-24
Where I Work,I breed and release Arctic foxes to boost their numbers in the wild,"Over the past 25 years, Kristine Ulvund has helped to increase the species’ population size from 50 or so individuals to more than 500.",Rachel Nuwer,03-Jun-24
Research Highlight,Mystery of huge ancient engravings of snakes solved at last,The depictions along South America’s Orinoco River are some of the biggest rock art known.,"N, /, A",03-Jun-24
Research Highlight,‘Sugar world’ sweetens the Solar System’s remote reaches,The icy body Arrokoth has a sugary coating that gives the body its distinctive red appearance.,"N, /, A",03-Jun-24
Article,Observation of Bose–Einstein condensation of dipolar molecules,Bose–Einstein condensate of sodium–caesium molecules is observed by means of evaporative cooling and collisional shielding.,"Niccolò Bigagli, Weijun Yuan, Sebastian Will",03-Jun-24
Career Feature,Racing across the Atlantic: how we pulled together for ocean science,"Isabelle Côté and three other female marine scientists competed in a row across the Atlantic ocean, making the trip in 38 days to raise money for ocean education, conservation and research.",Lesley Evans Ogden,03-Jun-24
News Q&A,Why cicadas shriek so loudly and more: your questions answered,Billions of the insects are making an epic emergence in the eastern United States.,Sumeet Kulkarni,03-Jun-24
Nature Careers Podcast,Using live transport data to deliver sustainable cities,Smart cities rely on digital technologies to keep goods and people moving at a lower cost to the planet. The world needs more of them.,Dom Byrne,03-Jun-24
News,‘Preposterous’: Anthony Fauci denies cover-up of COVID origins during tense hearing,Long-awaited testimony ends in fireworks as US lawmakers spar over the former infectious-disease official’s pandemic actions.,"Max Kozlov, Lauren Wolf",03-Jun-24
Technology Feature,How to keep the lights on: the mission to make more photostable fluorophores,Fluorescent labels that have greater resistance to bleaching could help researchers to get more from biological imaging.,Ariana Remmel,03-Jun-24
Nature Briefing,Daily briefing: Tiny fork fern has the biggest genome ever found,"A species of fork fern,Tmesipteris oblanceolata, has the biggest genome ever recorded. Plus, biomedical paper retractions are soaring and environmental engineer Claudia Sheinbaum Pardo is elected Mexico’s president.",Flora Graham,03-Jun-24
News,Physicists coax molecules into exotic quantum state — ending decades-long quest,"Molecular Bose–Einstein condensates could help to provide the answers to fundamental questions, or form the basis of new quantum computers.",Elizabeth Gibney,03-Jun-24
News,Hope for global pandemic treaty rises — despite missed deadline,"Delegates were at an impasse over key issues, but agreements on other public-health emergency measures spark cautious optimism.",Mariana Lenharo,03-Jun-24
Research Highlight,Sex hormones in the gut soar during pregnancy — thanks to busy bacteria,"Two species in the gut microbiome transform corticosteroids into progestins, which can affect mood and behaviour.","N, /, A",31-May-24
News,First pig-to-human liver transplant recipient ‘doing very well’,The transplant aims to prolong the the person’s life and provides important lessons for physicians.,Smriti Mallapaty,31-May-24
News,Biomedical paper retractions have quadrupled in 20 years — why?,"Unreliable data, falsification and other issues related to misconduct are driving a growing proportion of retractions.",Holly Else,31-May-24
Career Column,"How I run a virtual lab group that’s collaborative, inclusive and productive","Despite having no fixed address, my team has been able to work together to create impactful science.",Luisa Maria Diele-Viegas,31-May-24
News,Biggest genome ever found belongs to this odd little plant,The gigantic genome of a type of fork fern smashes the human one in terms of size.,Max Kozlov,31-May-24
News,What is science? Tech heavyweights brawl over definition,AI pioneer Yann LeCun and Elon Musk went head-to-head in a debate about modern research that drew thousands of comments.,Fred Schwaller,31-May-24
Nature Briefing,"Daily briefing: If you do research and don’t publish it, is it science?","Tech heavyweights brawl over whether research needs to be published to count as science. Plus, the first recipient of a gene-edited pig liver is ‘doing very well’ and how Viking-age hunters took down the world’s biggest animal.",Katrina Krämer,31-May-24
News,The cicadas are here! Why US researchers are swarming to study them,"Two particular broods of the insects are popping up together for the first time in two centuries, and there’s a lot we don’t know about them.",Sumeet Kulkarni,31-May-24
Publisher Correction,Publisher Correction: Anti-TIGIT antibody improves PD-L1 blockade through myeloid and Tregcells,N/A,"Xiangnan Guan, Ruozhen Hu, Namrata S. Patil",30-May-24
Research Highlight,Karaoke-related stress soars after a good night of REM sleep,The emotional load of listening to one’s own performance is preserved by a certain type of sleep.,"N, /, A",30-May-24
Research Highlight,More than a billion people live in ‘energy poverty’,Satellite data help to show that many people with access to electricity cannot take advantage of it.,"N, /, A",30-May-24
Career Column,How I overcame my stage fright in the lab,Kwabena Boahen Asare was determined to conquer his fear of public speaking after landing a research placement that required him to give weekly presentations.,Kwabena Asare,30-May-24
News,Japan’s push to make all research open access is taking shape,Japan will start allocating the ¥10 billion it promised to spend on institutional repositories to make the nation’s science free to read.,Dalmeet Singh Chawla,30-May-24
Career Q&A,Defying the stereotype of Black resilience,"As head of the Black In Neuro network, Kaela S. Singleton argues that Black success should not require hardship or struggle.",Jyoti Madhusoodanan,30-May-24
News,Mexico’s next president will be a scientist — researchers are split in their support,"Some are hopeful, but others worry that Claudia Sheinbaum Pardo will follow in her controversial predecessor’s footsteps rather than stand up for science.",Humberto Basilio,30-May-24
Research Briefing,Measuring the forces that shape early human embryos,"Contractile forces at the surface of cells of early human embryos bring the cells together. When these forces are absent, the embryo will not develop further. ‘Weak’ cells do not produce these forces and cannot contribute to the embryo. These observations should influence clinical choices during assisted reproductive-technology procedures.","N, /, A",30-May-24
Nature Briefing,Daily briefing: ‘Smart’ antibiotic spares the microbiome,"The antibiotic lolamicin targets disease-causing bacteria without disturbing healthy gut bacteria. Plus, the underground lab that will test a controversial dark-matter claim and how NASA astronauts train to walk on the Moon.",Katrina Krämer,30-May-24
News,Disputed dark-matter claim to be tested by new lab in South Korea,A multi-million dollar facility is hoping to put a 21-year-old debate about dark matter to rest.,Gemma Conroy,30-May-24
Author Correction,Author Correction: Cryo-EM structures of apo and antagonist-bound human Cav3.1,N/A,"Yanyu Zhao, Gaoxingyu Huang, Nieng Yan",29-May-24
Author Correction,Author Correction: Identification of SARS-CoV-2 inhibitors using lung and colonic organoids,N/A,"Yuling Han, Xiaohua Duan, Shuibing Chen",29-May-24
Outlook,Innovative cancer therapies offer new hope,The arsenal of weapons used to treat these insidious diseases is rapidly expanding.,Herb Brody,29-May-24
Research Highlight,Ancient DNA reveals extinct flightless bird’s superpowers,"The little bush moa had small eyes, no wings and some extraordinary skills.","N, /, A",29-May-24
News Explainer,Chance of heatwaves in India rising with climate change,"Not only are these extreme events increasing in frequency, they are lasting longer and becoming hotter, too.",Jude Coleman,29-May-24
Article,A site-resolved two-dimensional quantum simulator with hundreds of trapped ions,"In this work, stable trapping of a two-dimensional Wigner crystal of above 500 ions is achieved, and the quantum simulation of 300 ions with individual state detection demonstrated.","S.-A. Guo, Y.-K. Wu, L.-M. Duan",29-May-24
